	103504732
hsa-mir-4724	100616248
hsa-mir-4750	100616314
hsa-mir-4751	100616483
hsa-mir-4752	100616171
hsa-mir-1245b	100616324
hsa-mir-4753	100616224
hsa-mir-1243	100302188
hsa-mir-1244	100302285
"hsa-mir-7112-2	102465906
hsa-mir-301a"	407027
"hsa-mir-302	407028
"hsa-mir-301	407027
hsa-mir-384	494333
hsa-mir-1247	100302145
hsa-mir-4758	100616340
hsa-mir-383	494332
hsa-mir-1248	100302143
hsa-mir-4759	100616243
hsa-mir-1245	100302219
hsa-mir-1246	100302142
hsa-mir-4754	100616168
hsa-mir-4755	100616434
hsa-mir-1249	100302149
hsa-mir-4756	100616225
hsa-mir-4757	100616307
hsa-mir-4740	100616294
hsa-mir-4741	100616139
hsa-mir-4742	100616468
hsa-mir-380	494329
hsa-mir-1233	100302160
hsa-mir-382	494331
hsa-mir-381	494330
hsa-mir-1231	100302158
hsa-mir-193a"	406968
hsa-mir-6715a	102466189
hsa-mir-6715b	102465427
hsa-mir-373	442918
hsa-mir-1236	100302242
hsa-mir-4747	100616337
hsa-mir-372	442917
hsa-mir-1237	100302280
hsa-mir-4748	100616425
hsa-mir-375	494324
hsa-mir-1234	100302196
hsa-mir-4749	100616313
hsa-mir-377	494326
hsa-mir-4743	100616366
hsa-mir-4744	100616420
hsa-mir-379	494328
hsa-mir-1238	100302226
hsa-mir-4745	100616459
hsa-mir-378	494327
hsa-mir-4746	100616371
hsa-mir-1261	100302228
hsa-mir-4772	100616157
hsa-mir-1262	100302279
hsa-mir-4774	100616356
hsa-mir-1260	100302236
hsa-mir-4775	100616361
hsa-mir-1265	100302116
hsa-mir-2113	100302164
hsa-mir-1266	100302202
hsa-mir-371	442916
hsa-mir-1263	100302148
hsa-mir-4770	100616373
hsa-mir-370	442915
hsa-mir-1264	100302251
hsa-mir-2110	100302224
hsa-mir-125a	406910
hsa-mir-369	442914
hsa-mir-362	574030
hsa-mir-1269	100302177
hsa-mir-2117	100313779
hsa-mir-361	494323
hsa-mir-2116	100313886
hsa-mir-1267	100302286
hsa-mir-2115	100313840
hsa-mir-1268	100302233
hsa-mir-2114	100313839
hsa-mir-4777	100616317
hsa-mir-4778	100616464
hsa-mir-367	442912
hsa-mir-4779	100616159
hsa-mir-1250	100302229
hsa-mir-3689a	100500846
hsa-mir-4761	100616414
hsa-mir-1251	100302289
hsa-mir-4762	100616253
hsa-mir-4763	100616143
hsa-mir-4764	100616295
hsa-mir-1254	100302273
hsa-mir-1252	100302136
hsa-mir-1253	100302208
hsa-mir-4760	100616148
hsa-mir-34b	407041
hsa-mir-34a	407040
hsa-mir-34c	407042
hsa-mir-1258	100302172
hsa-mir-4769	100616147
hsa-mir-1256	100302155
hsa-mir-1257	100302168
hsa-mir-3689f	100616212
hsa-mir-3689e	100616460
hsa-mir-4765	100616219
hsa-mir-4766	100616283
hsa-mir-3689c	100616333
hsa-mir-4767	100616467
hsa-mir-3689b	100500906
hsa-mir-4768	100616249
hsa-mir-3907	100500835
hsa-mir-3909	100500826
hsa-mir-3908	100500909
hsa-mir-329-2	574409
hsa-mir-329-1	574408
hsa-mir-466	100423038
hsa-mir-6165	102465141
mir-490"	574443
hsa-mir-26a-1	407015
hsa-mir-26a-2	407016
hsa-mir-452	574412
hsa-mir-451	574411
hsa-mir-454	768216
hsa-mir-455	619556
hsa-mir-4472-1	100616268
hsa-mir-4472-2	100616309
hsa-mir-3929	100500864
hsa-mir-3928	100500901
hsa-mir-3927	100500898
hsa-mir-448	554212
"hsa-mir-513-1	574509
hsa-mir-3921	100500859
hsa-mir-3920	100500823
hsa-mir-3925	100500885
hsa-mir-3924	100500834
hsa-mir-3923	100500877
hsa-mir-3922	100500843
hsa-mir-526a-2	574486
hsa-mir-526a-1	574475
"hsa-mir-196-2	406973
"hsa-mir-196-1	406972
hsa-mir-3918	100500851
hsa-mir-3917	100500808
hsa-mir-3916	100500849
hsa-mir-3915	100500915
hsa-mir-3919	100500803
hsa-mir-432	574451
hsa-mir-431	574038
hsa-mir-511-2"	574445
hsa-mir-3912	100500831
hsa-mir-433	574034
hsa-mir-3911	100500872
hsa-mir-218-2	407001
hsa-mir-218-1	407000
hsa-mir-425	494337
hsa-mir-424	494336
hsa-mir-429	554210
hsa-mir-487a"	619555
hsa-mir-3943	100500829
hsa-mir-3942	100500904
hsa-mir-3941	100500866
hsa-mir-3940	100500888
hsa-mir-421	693122
hsa-mir-423	494335
hsa-mir-3945	100500818
hsa-mir-3944	100500911
hsa-mir-3939	100500857
hsa-mir-3938	100500875
hsa-mir-3937	100500822
hsa-mir-890	100126303
hsa-mir-410	574434
hsa-mir-3936	100500865
hsa-mir-3935	100500891
hsa-mir-412	574433
hsa-mir-3934	100500873
hsa-mir-411	693121
hsa-mir-512-2	574459
hsa-mir-512-1	574458
hsa-mir-3960	100616250
hsa-mir-887	100126347
hsa-mir-889	100126345
hsa-mir-888	100126306
hsa-mir-409	574413
hsa-mir-1303	100302284
hsa-mir-1301	100302246
hsa-mir-1306	100302197
hsa-mir-1307	100302174
hsa-mir-885	100126334
hsa-mir-1304	100302240
hsa-mir-1972-2	100422922
hsa-mir-1305	100302270
hsa-mir-876	100126310
