miRNA_id	miRNA_family	Tulip14	Tulip27	Tulip04	Tulip01	Tulip13	Tulip20	Tulip24	Tulip25	Tulip28	Tulip09	Tulip03	Tulip17	Tulip06	Tulip05	Tulip11	Tulip07	Tulip22
hsa-mir-10b-5p	mir-10-5p	0.057	-0.505	0.417	-0.177	0.38	0.934	0.305	0.588	-1.076	-0.135	-0.793	0.472	-0.145	0.79	-0.865	0.168	-0.416
hsa-mir-720 (v18)	NA	0.179	0.586	0.489	0.355	-0.461	1.15	0.886	2.621	-0.531	-0.379	-0.406	0.167	-0.956	-0.462	-1.778	-1.246	-0.214
hsa-mir-29c-3p	mir-29-3p	0.077	-0.097	0.387	0.432	-0.057	-0.019	-0.087	0.28	-0.335	-0.049	0.241	-0.193	0.124	-0.176	-0.059	0.017	-0.486
hsa-mir-99b-5p	mir-99-5p/100-5p	-0.17	-0.091	-1.063	-0.555	0.768	-0.315	-0.116	-1.167	0.967	-0.608	0.656	0.338	-0.919	0.345	1.054	-0.62	1.497
hsa-let-7d-3p	let-7d-3p	0.156	-0.182	-0.574	-0.199	-0.079	-0.601	-0.116	-0.681	0.768	-0.402	0.419	0.774	-0.239	0.2	0.437	-0.054	0.372
hsa-mir-134-5p	mir-134-5p	-0.646	0.293	-0.391	-0.709	-0.932	-0.944	-0.083	-2.121	1.948	-0.079	0.672	-0.139	0.227	-0.022	1.22	0.404	1.302
hsa-mir-128-3p	mir-128-3p	0.107	-0.483	-0.22	-0.063	-0.069	-0.604	-0.144	-0.439	0.285	-0.215	0.645	0.544	0.022	-0.065	0.335	0.043	0.32
hsa-mir-145-5p	mir-145-5p	-0.172	0.144	0.013	-0.311	-0.465	0.254	-0.446	-0.49	1.005	-0.247	-0.417	0.893	0.594	0.362	-0.774	0.605	-0.549
hsa-mir-148a-3p	mir-148-3p/152-3p	1.183	0.468	0.1	0.042	-0.813	0.215	-0.402	0.916	-0.587	-0.463	0.461	0.343	-0.131	-0.201	-0.108	-0.437	-0.587
hsa-mir-1275	mir-1275/4665-5p	0.768	-2.304	0.957	0.317	1.058	0.98	0.428	1.151	-0.273	0.021	-0.715	-0.797	-0.394	0.124	-0.805	-0.006	-0.51
hsa-mir-324-3p	mir-324-3p/1913	0.195	-0.02	-0.007	-0.183	0.066	0.346	0.377	0.662	0.282	-0.239	-0.303	0.142	-0.354	-0.229	-0.246	-0.154	-0.336
hsa-mir-194-5p	mir-194-5p	0.13	0.858	0.478	0.155	-0.185	0.997	0.774	3.252	-1.832	0.082	-1.095	-0.82	-0.067	-0.657	-0.87	-0.29	-0.91
hsa-mir-29b-3p	mir-29-3p	0.249	-0.26	0.841	0.649	0.013	0.199	-0.12	0.155	-0.697	0.123	-0.137	-0.534	0.579	-0.289	-0.197	-0.242	-0.332
hsa-mir-502-3p	mir-501-3p/502-3p	0.813	-0.477	-0.097	0.169	0.663	0.376	0.942	1.065	-1.105	-0.177	-0.579	-0.043	-0.284	-0.44	-0.435	-0.064	-0.33
hsa-mir-378a-3p	mir-378-3p	-0.535	1.062	-0.048	0.211	0.067	0.83	0.815	1.963	-0.571	-0.209	-0.505	-0.249	-0.697	-0.664	-0.576	-0.374	-0.522
hsa-mir-625-5p	mir-625-5p	-0.159	-0.043	-1.138	-0.171	0.501	-1.046	-0.494	-0.708	2.055	-0.323	0.118	0.625	-0.116	0.182	0.17	-0.153	0.7
hsa-mir-15b-3p	mir-15b-3p	-0.276	-0.225	0.456	0.493	-0.247	-0.096	0.117	0.507	-0.666	0.38	0.183	-0.113	0.145	-0.287	-0.074	0.228	-0.528
hsa-mir-10a-5p	mir-10-5p	-0.048	-0.322	-0.161	-0.289	0.139	0.366	-0.113	-0.398	0.267	-0.351	0.141	0.49	-0.124	0.229	0.036	-0.007	0.145
hsa-mir-125b-5p	mir-125-5p	-0.625	1.166	-0.216	-0.526	-0.333	1.26	0.96	2.802	-0.874	-0.798	-0.184	-0.372	-0.262	0.198	-0.723	-0.463	-1.009
hsa-mir-660-5p	mir-660-5p	-0.063	-0.133	0.371	0.018	0.673	0.533	0.867	0.716	-0.958	-0.019	-0.623	-0.392	-0.027	-0.131	-0.531	-0.051	-0.25
hsa-mir-501-3p	mir-501-3p/502-3p	0.234	-0.111	-0.104	0.248	0.647	0.438	0.766	0.87	-0.561	-0.014	-0.618	0.139	-0.412	-0.429	-0.604	-0.114	-0.375
hsa-mir-92b-3p	mir-25-3p/32-5p/92-3p/363-3p/367-3p	0.041	-0.226	-0.185	0.045	-0.062	0.164	0.906	0.737	-0.129	0.209	-0.303	-0.04	-0.227	-0.406	-0.426	-0.042	-0.055
hsa-mir-125a-5p	mir-125-5p	-0.094	-0.101	-0.917	-0.571	0.575	-0.01	-0.231	-0.787	0.762	-0.524	0.459	0.008	-0.775	0.251	1.185	-0.729	1.499
hsa-mir-148b-3p	mir-148-3p/152-3p	0.076	0.015	0.379	0.042	-0.761	-0.623	-0.821	-0.954	0.45	-0.008	0.992	0.421	0.247	-0.148	0.411	0.192	0.088
hsa-mir-99a-5p	mir-99-5p/100-5p	-0.63	1.374	-0.428	-0.193	-0.374	1.141	1.248	2.86	-0.803	-0.654	-0.209	-0.236	-0.531	-0.151	-1.048	-0.447	-0.92
hsa-mir-22-5p	mir-22-5p	0.234	-0.191	-0.275	-0.298	-0.181	-0.053	0.01	-0.425	-0.215	-0.095	0.39	0.518	0.063	0.138	0.309	0.295	-0.223
hsa-mir-193a-5p	mir-193a-5p	-1.143	1.943	-0.224	0.373	0.147	2.176	2.017	2.155	-1.3	-0.636	-1.102	-0.484	-0.747	-0.71	-1.147	-0.415	-0.903
hsa-mir-324-5p	mir-324-5p	0.179	-0.363	-0.426	-0.419	0.11	-0.291	-0.135	-0.009	0.999	-0.408	0.411	0.61	-0.008	-0.549	0.019	-0.273	0.551
hsa-mir-192-5p	mir-192-5p/215-5p	-0.743	1.547	0.501	0.575	0.119	1.196	1.098	2.863	-1.714	0.062	-0.943	-1.098	-0.558	-0.793	-0.812	-0.236	-1.065
hsa-mir-330-3p	mir-330-3p	0.488	0.12	-0.543	-0.104	-0.177	-0.56	-0.592	-2.689	1.346	-0.422	0.771	0.583	0.112	-0.055	0.691	0.246	0.786
hsa-mir-374b-5p	mir-374-5p	-0.165	-0.528	-0.165	-0.265	-0.526	-1.046	-0.693	-1.15	0.106	0.344	0.658	-0.093	1.962	0.109	0.429	0.949	0.074
hsa-mir-345-5p	mir-345-5p	0.061	0.185	-0.129	-0.062	0.1	0.359	0.124	0.653	0.271	-0.104	-0.26	0.081	-0.608	-0.23	-0.065	-0.311	-0.065
hsa-mir-365a-3p	mir-365-3p	-1.671	2.455	0.035	1.357	-0.018	2.191	1.613	2.433	-2.168	-1.004	-0.869	-0.689	-0.993	-0.295	-0.978	-0.194	-1.205
hsa-mir-143-3p	mir-143-3p	-0.299	0.329	0.351	-0.038	-1.54	-0.297	-1.136	-0.698	1.66	-0.301	0.13	1.323	0.382	0.248	-0.277	0.951	-0.787
hsa-mir-1246	mir-1246	-0.249	0.586	0.211	1.601	0.518	1.467	0.819	0.357	-1.417	-0.462	-0.515	-1.611	-0.789	0.198	-1.003	0.576	-0.288
hsa-mir-301a-3p	mir-130-3p/301-3p/454-3p	-0.034	-0.448	0.338	0.336	-0.32	-0.287	-0.444	-0.847	-0.08	0.022	0.438	-0.242	0.77	-0.112	0.335	0.277	0.299
hsa-mir-328-3p	mir-328-3p	0.33	0.037	-0.879	-0.069	-0.67	-0.89	0.01	-1.547	1.25	-0.637	0.755	0.918	0.346	-0.432	0.236	0.284	0.957
hsa-mir-28-3p	mir-28-3p	0.156	0.035	-0.501	-0.14	-0.451	-0.795	-0.42	-0.578	0.68	-0.414	0.704	0.733	0.199	-0.306	0.431	-0.049	0.717
hsa-mir-629-5p	mir-629-5p	-0.736	0.071	-0.67	0.101	-0.49	0.766	1.02	1.239	0.022	0.739	-1.507	0.57	-0.266	-1.148	0.364	-0.525	0.451
hsa-mir-338-3p	mir-338-3p	0.495	-0.004	-0.409	0.247	-0.949	-1.537	-2.515	-1.696	0.811	-0.081	0.715	0.885	0.776	-0.123	1.331	1.221	0.833
hsa-mir-18b-5p	mir-18-5p	-0.178	-0.531	0.271	0.201	0.341	-0.438	0.238	0.545	-0.345	0.074	-0.075	-0.036	-0.074	-0.334	0.087	0.144	0.111
hsa-mir-377-3p	mir-377-3p	-1.6	0.488	0.164	-0.602	-0.89	-1.165	-0.83	-1.88	1.655	-0.002	1.322	-0.337	0.785	0.055	1.601	0.004	1.232
hsa-mir-454-3p	mir-130-3p/301-3p/454-3p	0.248	-1.344	-0.042	0.236	0.248	0.428	-0.435	-0.611	-0.786	0.615	-0.421	-0.268	1.501	-0.046	-0.015	0.517	0.174
hsa-mir-532-5p	mir-532-5p	0.135	-0.414	0.026	0.003	0.597	0.486	0.554	0.778	-0.877	-0.029	-0.584	-0.23	0	-0.013	-0.235	-0.079	-0.118
hsa-mir-106b-3p	mir-106b-3p	-0.021	-0.583	-0.245	-0.243	0.147	-0.474	-0.087	-0.004	0.664	-0.141	0.311	0.553	-0.027	-0.068	0.065	-0.156	0.31
hsa-mir-369-3p	mir-369-3p	-0.343	0.389	-0.558	-0.167	-1.293	-1.346	-0.392	-1.717	1.542	-0.078	1.124	-0.94	0.287	0.029	1.464	0.736	1.263
hsa-mir-33a-5p	mir-33-5p	0.157	0.109	0.07	-0.113	-0.423	-0.549	-1.143	-1.982	0.953	0.084	1.123	0.731	0.167	0.068	0.56	-0.203	0.391
hsa-mir-30e-3p	mir-30-3p	0.174	-0.504	-0.841	-0.133	0.89	-0.72	-0.765	0.353	0.522	-0.073	0.143	0.37	0.462	-0.125	0.24	-0.182	0.189
hsa-mir-197-3p	mir-197-3p	0.051	-0.165	-0.224	0.343	-0.293	-0.258	-0.115	-0.772	0.609	-0.633	0.244	0.538	-0.232	0.133	0.506	0.011	0.257
hsa-mir-1280 (v18)	NA	1.847	0.051	-0.221	0.261	-0.323	-0.788	-0.441	-0.638	0.249	-0.065	0.162	0.264	-0.389	-0.134	0.157	-0.019	0.027
hsa-mir-139-5p	mir-139-5p	0.876	-0.315	-0.691	0.342	0.187	-0.002	0.023	-1.37	-0.23	-0.542	-0.079	0.405	0.005	0.075	0.671	-0.058	0.703
hsa-mir-495-3p	mir-495-3p	-0.552	0.239	-0.261	-0.349	-0.731	-1.213	-1.328	-2.573	1.188	0.276	0.724	-0.017	1.094	0.219	1.423	0.615	1.247
hsa-let-7e-5p	let-7-5p/98-5p	0.753	-1.078	-1.32	-0.082	0.806	-0.778	0.534	-0.072	-0.239	1.021	-0.405	0.326	-0.694	-0.068	0.567	0.275	0.454
hsa-mir-590-5p	mir-21-5p/590-5p	-0.033	-0.05	0.295	0.14	-0.269	-0.429	-0.092	-0.158	0.345	-0.114	0.466	0.191	0.157	-0.371	0.135	-0.17	-0.044
