miRNA_id	miRNA_family	Tulip14	Tulip27	Tulip04	Tulip01	Tulip13	Tulip20	Tulip24	Tulip25	Tulip28	Tulip09	Tulip03	Tulip17	Tulip06	Tulip05	Tulip11	Tulip07	Tulip22
hsa-mir-337-3p	mir-337-3p	-1.577	0.502	0	-0.011	-1.153	-0.877	-0.932	-1.762	1.644	-0.426	0.906	-0.007	0.943	-0.062	1.447	-0.116	1.481
hsa-mir-181d-5p	mir-181-5p	0.178	-0.205	-0.279	-0.854	0.031	-0.965	-0.879	-2.065	1.852	0.005	0.741	0.592	0.136	0.107	0.339	0.219	1.046
hsa-mir-4732-5p	mir-4732-5p	0.22	0.343	0.101	-0.153	0.223	1.152	0.781	1.059	-1.243	0.547	-1.035	-0.558	-0.238	-0.173	-0.859	-0.054	-0.112
hsa-mir-497-5p	mir-15-5p/16-5p/195-5p/424-5p/497-5p	0.053	-0.189	0.244	-0.291	0.018	0.278	0.048	0.12	0.002	-0.502	-0.062	0.576	-0.212	0.175	-0.107	0.137	-0.288
hsa-mir-181c-5p	mir-181-5p	0.091	-0.404	-0.222	-0.668	-0.076	-0.859	-0.685	-1.961	1.082	0.098	0.903	0.71	0.197	0.35	0.592	0.253	0.601
hsa-mir-193b-3p	mir-193-3p	-1.277	3.744	-0.204	0.914	-0.053	2.768	2.664	4.014	-1.839	-1.953	-1.907	-1.335	-1.171	-1.344	-1.503	-0.796	-0.72
hsa-mir-375	mir-375	-0.433	-0.114	0.311	-0.522	0.483	1.238	1.678	1.824	-0.997	-0.166	-1.434	2.124	-0.308	-0.55	-1.742	-0.108	-1.284
hsa-mir-551b-3p	mir-551-3p	0.175	0.501	-0.178	-0.934	-0.23	-1.152	-0.428	-2.059	1.338	0.468	0.888	0.31	0.278	0.114	0.424	-0.083	0.568
hsa-mir-518a-5p	mir-518a-5p/527	-1.427	4.128	-0.634	1.07	-1.664	1.268	-0.598	-0.155	0.689	-1.377	-0.631	0.626	-0.103	-2.93	-0.459	0.425	1.771
hsa-mir-505-3p	NA	-0.221	0.394	-0.211	0.098	-0.243	0.811	0.473	0.567	-0.174	-0.281	-0.252	0.11	-0.119	-0.342	-0.344	-0.252	-0.014
hsa-mir-15a-3p	mir-15a-3p	-0.025	0.034	0.02	0.034	0.345	-0.773	0.455	-0.576	0.43	0.401	0.731	-1.012	0.191	-0.404	0.258	-0.3	0.19
hsa-mir-21-3p	mir-21-3p/3591-3p	0.241	-0.295	-0.139	0.134	-0.007	-0.883	-0.378	-1.11	0.419	-0.122	0.852	0.617	0.22	0.093	0.42	-0.153	0.091
hsa-mir-376b-3p	mir-376-3p	-0.959	0.452	-0.077	-0.157	-1.11	-1.126	-1.467	-1.783	1.141	0.554	0.947	-0.11	1.098	-0.067	0.966	0.418	1.28
hsa-mir-550a-3p	mir-200c-5p/550a-3p	0.428	-0.239	0.156	0.228	0.732	-0.011	0.902	1.117	-1.612	0.366	-0.562	-0.815	0.108	-0.223	-0.379	0.098	-0.296
hsa-mir-29b-2-5p	mir-29b-2-5p	0.029	-0.279	0.074	0.023	0.159	0.125	0.312	0.223	-0.151	0.275	-0.137	0.017	-0.044	-0.201	-0.307	-0.045	-0.074
hsa-mir-183-5p	NA	0.241	-0.546	0.297	1.178	0.578	0.162	0.529	0.665	-2.648	0.539	-1.487	-0.719	1.402	-0.574	-0.967	1.831	-0.482
hsa-mir-483-3p	NA	-0.342	1.095	0.185	0.163	0.218	1.603	0.759	2.305	-1.054	-0.642	-0.69	-0.701	-1.257	-0.048	-0.97	0.136	-0.76
hsa-mir-136-3p	mir-136-3p	-1.042	0.691	0.532	-0.132	-0.994	-1.124	-0.712	-1.296	1.423	0.215	0.766	-0.584	0.55	-0.231	1.417	-0.325	0.845
hsa-mir-1224-3p	mir-1224-3p	1.025	-1.491	0.97	-1.135	1.099	-0.105	-0.042	1.394	-0.453	-0.226	-0.381	-0.913	-0.149	0.417	-0.409	0.614	-0.215
hsa-mir-628-3p	mir-628-3p	0.471	-0.565	-0.459	-0.254	-0.172	-0.489	-0.311	-1.154	0.46	-0.22	0.318	0.684	0.047	0.119	0.785	-0.063	0.804
hsa-let-7a-3p	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	-0.318	0.242	0.873	0.191	-0.44	-0.035	-0.552	-0.011	-0.338	0.215	0.695	-0.089	0.501	-0.22	0.237	-0.483	-0.468
hsa-mir-532-3p	mir-532-3p	0.175	0.024	-0.065	0.469	0.225	0.378	0.875	0.948	0.234	-0.109	0.065	-3.702	0.301	-0.204	-0.116	0.103	0.401
hsa-mir-296-3p	mir-296-3p	1.371	-0.882	1.248	0.541	0.627	-0.239	0.484	1.291	-0.458	-0.094	-0.485	-1.199	-0.951	0.905	-0.285	0.114	-1.988
hsa-let-7b-3p	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	-0.311	0.052	0.298	0.133	0.051	0.678	0.048	0.621	-0.505	-0.333	0.117	0.075	-0.255	0.007	0.15	-0.334	-0.495
hsa-mir-503-5p	mir-503-5p	0.286	-1.575	0.354	0.161	0.022	-1.412	-0.026	-2.006	0.86	-0.327	-0.883	1.268	0.002	0.241	0.873	0.702	1.461
hsa-mir-200c-3p	mir-200bc-3p/429	0.371	-0.42	-0.332	-0.094	0.498	-0.452	-0.555	-1.681	0.666	-0.172	0.104	0.77	0.351	0.18	0.346	0.023	0.398
hsa-mir-23a-5p	mir-23-5p	0.379	-0.386	-0.726	-0.476	0.091	-0.239	-0.199	-1.583	1.223	-0.477	0.689	0.742	-0.149	0.117	0.55	-0.12	0.562
hsa-mir-188-5p	mir-188-5p	0.102	0.161	0.166	-0.227	0.436	0.689	0.723	0.347	-1.07	0.161	-0.438	-0.195	-0.083	0.009	-0.53	0.129	-0.38
hsa-mir-7-1-3p	mir-7-3p	-0.084	-0.301	0.13	0.262	-0.23	-0.31	-0.576	-0.521	0.511	0.137	0.314	0.197	0.06	0.086	0.331	-0.021	0.017
hsa-mir-136-5p	mir-136-5p	-1.242	0.785	0.463	-0.393	-0.818	-1.037	-1.207	-1.889	1.385	0.869	0.779	-0.969	1.429	-0.176	1.257	-0.307	1.071
hsa-mir-485-3p	mir-539-3p	-0.704	-0.048	-0.686	-0.063	-0.762	-1.223	-0.435	-2.194	1.96	-0.263	0.461	-0.529	0.865	0.152	1.349	0.753	1.368
hsa-mir-2355-5p	mir-2355-5p	0.321	0.131	-0.222	0.153	-0.618	-0.728	-0.786	-1.816	0.708	-0.028	1.277	0.917	-0.226	0.563	0.973	-0.926	0.305
hsa-mir-223-5p	mir-223-5p	0.169	-0.585	-0.285	0.167	-0.02	0.189	-0.559	-0.771	0.465	-0.275	0.15	0.787	-0.346	0.297	0.537	-0.129	0.208
hsa-mir-23c	mir-23-3p	-0.292	-0.684	-0.687	0.118	0.537	-0.947	-0.373	1.706	0.129	0.212	0.205	-0.341	0.729	0.04	0.145	-0.703	0.207
hsa-mir-296-5p	mir-296-5p	-0.107	-0.925	-0.29	-0.209	0.26	0.743	1.032	0.925	-1.379	0.287	-0.144	0.536	-0.084	0.081	-0.02	-0.088	-0.617
hsa-mir-181b-5p	mir-181-5p	0.554	-1.356	0.225	0.506	0.267	0.079	-0.547	-0.365	-0.15	-0.373	0.459	0.354	0.02	0.165	-0.127	0.221	0.069
hsa-mir-101-5p	mir-101-5p	-0.343	-0.472	0.495	0.34	-0.229	0.082	-0.302	0.578	-0.165	0.145	0.12	-0.093	0.417	0.204	-0.292	-0.185	-0.298
hsa-mir-627-5p	mir-627-5p	-0.531	0.167	0.344	0.41	-0.516	-0.862	0.587	0.714	-1.007	-0.849	0.331	0.431	-0.145	0.331	0.394	0.038	0.165
hsa-mir-500b-5p	mir-500a-5p	0	-0.392	0.273	0.033	0.467	0.713	0.494	0.641	-0.229	0.29	-0.942	-0.491	0.015	-0.083	-0.4	0.074	-0.462
hsa-mir-342-5p	mir-342-5p/4664-5p	0.144	-1.156	0.29	1.11	0.02	0.522	0.334	0.133	0.245	0.262	-0.291	-0.095	-0.183	-0.161	-0.344	-0.449	-0.38
hsa-mir-221-5p	mir-221-5p/8073	-0.291	-0.688	-0.195	-0.105	-0.458	-0.34	-0.569	-1.639	-0.096	0.355	0.895	0.713	0.739	0.569	0.457	0.135	0.519
hsa-mir-550a-5p	mir-550a-3-5p/550a-5p/1271-3p	0.262	-0.592	-0.287	-0.102	0.71	0.152	0.772	1.519	-0.478	0.129	-0.472	-0.335	0.033	-0.618	-0.399	-0.18	-0.114
hsa-mir-500a-5p	mir-500a-5p	0.191	-0.873	0.306	0.027	0.167	0.786	0.129	0.574	-1.055	0.543	-0.545	-0.172	0.557	-0.501	-0.373	0.447	-0.21
hsa-mir-29c-5p	mir-29c-5p	-0.368	-0.101	0.343	0.154	-0.211	-0.955	-0.048	0.634	0.211	0.343	0.416	-0.838	0.141	-0.057	0.299	-0.037	0.075
hsa-mir-664a-3p	mir-664a-3p	-0.09	-0.498	-0.305	0.075	-0.061	-0.451	-1	-0.56	0.382	0.251	0.706	0.347	0.847	0.021	0.327	-0.149	0.159
hsa-mir-10a-3p	mir-10a-3p	-0.079	-0.115	0.357	-0.184	-0.35	0.267	-0.421	-0.516	0.374	0.118	0.231	0.436	-0.77	0.278	0.336	0.383	-0.345
hsa-mir-20a-3p	mir-20a-3p	0.073	0.504	0.29	-0.884	-0.073	1.029	0.558	-0.476	-0.01	-0.352	-0.831	-0.112	0.933	0.192	-1.001	0.828	-0.669
hsa-mir-501-5p	mir-501-5p	0.252	-0.687	0.05	0.388	0.609	0.553	0.635	0.631	-0.51	0.387	-0.737	-0.289	-0.119	-0.391	-0.632	0.211	-0.351
hsa-mir-323a-3p	mir-323-3p	-0.943	0.276	-0.579	-0.36	-0.742	-0.996	-0.127	-1.914	1.725	0.31	0.562	-0.043	0.081	-0.506	1.474	0.146	1.635
hsa-mir-1285-3p	mir-612/1285-3p/3187-5p/5189-5p/6860	0.021	-0.577	0.398	0.092	1.208	0.183	0.312	0.324	-0.487	-0.107	-0.058	-0.15	-0.305	-0.005	-0.52	-0.064	-0.265
hsa-mir-500a-3p	mir-500a-3p	-0.215	-0.423	-0.287	0.204	0.629	-0.108	0.961	0.825	-0.252	-0.187	-0.047	-0.5	-0.252	-0.231	-0.226	-0.122	0.232
hsa-mir-215-5p	mir-192-5p/215-5p	-0.526	1.31	0.395	0.599	-0.486	1.501	0.515	2.676	-1.791	0.073	-0.587	-0.138	-0.975	-1.179	-0.418	-0.101	-0.869
hsa-mir-338-5p	mir-338-5p	0.359	-0.623	-0.034	0.354	-0.251	-0.301	-1.056	-0.301	0.336	-0.097	0.605	0.81	-0.521	-0.103	0.195	0.378	0.25
hsa-mir-4257	mir-4257	2.341	0.775	-2.105	-3.123	2.074	-1.26	-0.306	-2.423	2.471	2.979	0.691	-1.47	-2.901	0.633	0.754	1.123	-0.252
hsa-mir-205-5p	mir-205-5p	-0.112	0.085	0.845	-0.638	1.129	0.424	0.15	0.825	-0.873	-0.724	-1.103	1.097	-0.509	1.037	-0.967	0.154	-0.822
hsa-let-7g-3p	let-7a-2-3p/let-7g-3p	0.071	-0.191	0.721	0.337	-0.768	-0.824	0.216	0.656	0.72	0.539	-0.225	-0.124	-0.395	0.116	-0.018	-1.092	0.262
hsa-mir-589-5p	mir-589-5p	0.01	-0.025	0.06	0.14	0.099	0.177	0.163	0.534	-0.166	0.268	-0.206	0.116	-0.39	-0.423	-0.128	-0.1	-0.129
hsa-mir-491-5p	mir-491-5p	0.237	-0.409	-0.504	-0.287	-0.056	-0.475	-0.453	-2.102	0.891	-0.268	0.456	0.484	0.391	-0.278	1.015	0.292	1.067
hsa-mir-135a-5p	mir-135-5p	-0.05	-0.306	-0.176	0.226	-0.018	-0.365	-0.077	-0.574	0.456	0.405	0.091	0.105	0.27	-0.995	0.472	0.297	0.24
hsa-mir-379-5p	mir-379-5p	-1.021	-0.338	-0.537	-0.494	-0.555	-0.415	-0.678	-1.928	1.084	0.71	0.425	-0.221	1.276	-0.382	1.353	0.227	1.494
hsa-mir-331-5p	mir-331-5p	-0.234	-0.109	-0.182	-0.187	0.282	-0.073	0.589	0.496	0.297	0.043	-0.592	-0.091	-0.258	-0.062	-0.079	-0.001	0.161
hsa-mir-378a-5p	mir-378a-5p	-0.338	0.863	-0.328	0.158	0.089	0.672	1.05	2.061	-0.485	-0.551	-0.581	-0.068	-0.504	-0.53	-0.612	-0.349	-0.547
hsa-mir-335-3p	mir-335-3p	-1.514	-0.161	0.562	-0.079	0.303	-1.211	-1.471	-2.157	-0.007	-0.529	1.079	0.257	1.356	0.592	1.775	0.01	1.194
hsa-mir-199b-5p	mir-199-5p	-0.496	-0.492	-0.038	1.466	-0.6	0.778	-1.462	-0.031	-0.043	0.21	0.155	-0.093	0.101	0.279	0.286	-0.057	0.035
hsa-mir-579-3p	mir-579-3p	0.707	-0.102	-0.528	0.28	0.265	-1.422	-0.944	1.054	-0.467	0.594	0.325	-0.278	-0.228	0.051	0.502	0.11	0.079
hsa-mir-651-5p	mir-651-5p	0.212	0.718	0.726	0.698	0.313	0.561	-2.011	-1.806	-0.51	0.598	0.92	0.707	-0.688	-0.317	-0.112	0.6	-0.609
hsa-mir-100-5p	mir-99-5p/100-5p	-0.303	1	-0.456	-0.005	0.11	0.773	1.228	4.84	-2.044	-1.236	-0.999	0.246	0.284	0.094	-1.825	-0.276	-1.429
hsa-mir-206	mir-1-3p/206	0.77	4.417	-0.733	-1.514	1.813	1.553	0.147	0.397	-2.596	-0.971	-1.253	-1.562	0.603	-0.77	-0.259	0.217	-0.26
hsa-mir-150-3p	mir-150-3p	0.818	-0.221	0.578	1.743	0.293	0.982	0.49	0.283	-0.395	-1.15	-0.731	-0.378	-0.557	0.352	-1.157	-0.629	-0.32
hsa-mir-214-3p	mir-214-3p/3619-5p	-0.087	0.027	0.138	-0.415	0.19	1.264	0.6	0.892	-1.265	-0.173	-0.423	-0.146	-0.023	0.836	-0.985	0.156	-0.586
hsa-mir-1296-5p	mir-1296-5p	-0.169	-0.918	-0.18	-0.259	-0.063	-0.044	-0.02	-0.765	1.115	0.192	0.299	0.466	-0.022	0.024	0.104	-0.253	0.492
hsa-mir-518f-5p	mir-518d-5p/519-5p	-0.037	0.687	0.287	-0.036	0.066	1.025	0.314	1.004	-0.812	0.151	-0.879	-0.558	0.228	0.262	-0.442	-0.708	-0.551
hsa-mir-654-5p	mir-654-5p	-0.37	0.445	-0.63	-0.994	-0.111	-0.664	-0.853	-1.598	1.818	0.438	-0.112	0.066	0.068	0.382	0.988	-0.315	1.441
hsa-mir-2355-3p	mir-2355-3p	0.538	-0.46	-0.053	-0.288	-0.148	-0.592	-0.904	-1.644	0.817	-0.151	0.704	0.539	-0.097	0.662	0.734	-0.005	0.349
hsa-mir-200b-3p	mir-200bc-3p/429	-0.041	0.118	0.027	-0.29	-0.18	0.636	-0.487	1.563	-0.149	-0.247	-0.216	0.784	-0.294	-0.278	-0.239	0.146	-0.851
hsa-mir-181a-2-3p	mir-181a-2-3p	1.115	0.142	0.375	-0.059	-0.021	0.203	-0.264	-0.205	-0.289	-0.027	-0.436	0.079	0.06	0.003	0.099	-0.407	-0.368
hsa-mir-204-5p	mir-204-5p/211-5p	-0.182	0.632	-0.98	-1.019	0.119	-0.192	-1.477	1.938	-0.278	1.062	-0.214	-0.426	0.416	-0.234	0.716	0.16	-0.039
hsa-mir-1271-5p	mir-96-5p/1271-5p	0.249	-0.116	-0.577	-0.511	-0.012	-0.31	0.084	-0.594	0.451	-0.748	0.25	0.624	-0.109	0.198	0.664	-0.294	0.751
hsa-mir-1825	mir-1825	0.236	-1.565	0.828	0.96	0.365	0.968	0.694	1.165	-0.182	-0.302	-0.127	-1.398	-0.164	0.083	-1.049	-0.207	-0.304
hsa-mir-362-3p	mir-329-3p/362-3p	-0.1	0.213	0.563	0.549	-0.08	0.155	0.245	0.599	-1.121	0.322	-0.366	-0.177	0.21	0.312	-0.308	-0.079	-0.937
hsa-mir-182-5p	mir-182-5p	-0.178	-1.041	-0.027	0.861	0.182	-0.125	-0.128	-0.247	-0.811	1.217	-1.213	-0.588	2.077	-0.306	-0.627	1.617	-0.66
hsa-mir-145-3p	mir-145-3p	0.013	0.862	-0.402	0.329	0.927	0.5	-2.784	1.581	0.769	1.553	0.061	-1.053	-1.487	0.998	-0.581	-0.794	-0.492
hsa-let-7f-1-3p	let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p	-0.266	-0.061	0.404	0.296	-0.402	-0.04	-0.44	-0.421	-0.216	-0.018	0.827	0.188	0.22	-0.028	0.44	-0.184	-0.3
hsa-mir-598-3p	mir-598-3p	0.282	-0.254	0.068	0.545	-0.428	-0.627	-0.429	-0.58	0.203	-0.218	0.637	0.04	0.423	0.332	-0.129	0.203	-0.066
hsa-mir-130b-5p	mir-130b-5p	0.082	-0.371	0.064	-0.005	-0.448	-0.767	-0.59	-1.665	0.173	-0.26	1.088	0.918	0.467	0.038	0.654	0.255	0.369
hsa-mir-18a-3p	mir-18a-3p	-0.126	-0.605	-0.49	0.248	0.497	-0.115	0.887	0.676	-0.019	-0.234	-0.409	-0.211	0.109	-0.475	-0.124	-0.007	0.399
hsa-mir-30a-3p	mir-30-3p	0.143	0.162	-0.148	-0.55	0.161	0.387	0.453	2.126	-0.416	-0.196	-0.636	-0.023	-0.699	-0.135	-0.4	-0.134	-0.094
hsa-mir-297	mir-297	0.685	0.275	0.78	0.294	-0.084	1.264	0.54	0.73	0.363	0.013	-1.028	-1.539	-0.366	-0.515	-0.848	-0.303	-0.26
hsa-mir-219a-5p	mir-219-5p	0.494	-0.435	0.353	-0.045	-0.398	-0.334	-0.989	0.146	-0.155	-0.149	0.459	-0.033	0.624	0.019	0.482	-0.009	-0.029
hsa-mir-191-3p	mir-191-3p	0.052	0.975	-0.259	-0.214	-0.167	-0.02	0.314	-0.603	-0.405	0.664	-0.092	0.401	-0.225	0.467	-0.937	0.066	-0.016
hsa-mir-29a-5p	mir-29a-5p	-0.178	-0.242	0.485	0.874	-0.309	0.077	-0.65	-0.135	-0.236	0.394	0.458	0.358	0.431	-0.236	0.211	-1.353	0.049
hsa-mir-539-5p	mir-539-5p	-1.226	-0.341	-0.777	-0.393	-0.227	-0.778	-0.369	-1.896	1.489	1.108	-0.044	-0.317	1.069	0.045	1.409	-0.06	1.307
hsa-mir-650	mir-3612	0.532	0.492	1.425	0.073	-0.257	0.635	0.029	0.974	-0.973	-0.993	0.115	-0.009	-1.259	-0.112	-0.142	-0.447	-0.086
hsa-mir-454-5p	mir-454-5p	0.116	-0.524	0.5	0.658	-0.102	-0.097	0.153	-0.234	-0.324	-0.19	0.453	0.167	0.216	-0.899	0.425	0.081	-0.395
hsa-mir-369-5p	mir-369-5p	-0.955	-0.14	0.514	-0.251	-0.829	-1.189	-0.59	-1.804	1.582	0.028	0.865	-0.148	0.238	-0.097	1.482	0.368	0.927
hsa-mir-411-5p	NA	-0.59	0.175	-0.806	-0.588	-0.639	-1.137	-0.785	-1.675	1.076	0.938	0.589	-0.263	1.472	-0.473	1.304	0.135	1.268
hsa-mir-374a-3p	mir-374a-3p	-0.122	-0.658	0.934	0.559	-0.105	0.313	-0.622	0.34	-0.547	1.134	0.054	-0.291	1.256	-0.801	-0.312	-0.123	-1.009
hsa-mir-487a-3p	mir-154-3p/487-3p	-0.819	-0.294	0.044	-0.324	-0.476	-0.849	-1.061	-1.727	1.075	0.312	0.345	-0.596	0.756	0.528	1.271	0.78	1.034
hsa-mir-1254	mir-1254/3116	-0.478	2.153	-0.654	-0.641	0.22	-0.144	0.086	2.491	2.528	-0.695	0.239	-0.805	-1.12	-0.533	-1.273	-0.48	-0.894
hsa-mir-301b-3p	mir-130-3p/301-3p/454-3p	-0.042	-0.429	0.028	0.501	-0.551	-0.895	-1.12	-1.613	0.406	0.275	0.717	0.5	0.642	0.366	0.879	-0.031	0.368
hsa-mir-1299	mir-1299	0.214	-0.327	-1.124	-0.776	-0.781	-0.233	1.076	0.428	0.66	-1.407	0.297	0.655	0.504	4.165	-2.04	0.346	-1.658
hsa-mir-30d-3p	mir-30-3p	0.06	0.132	-0.546	-0.278	-0.294	-0.228	-1.179	-0.447	0.649	-0.448	0.764	0.522	0.324	0.085	0.505	-0.052	0.432
hsa-mir-654-3p	mir-654-3p	-0.398	0.857	-0.064	-0.931	-0.633	-1.311	-1.303	-1.459	1.459	0.579	1.152	0.044	0.145	-0.968	1.733	0.479	0.619
hsa-mir-193a-3p	mir-193-3p	0.042	1.441	0.538	0.602	0.461	1.175	0.683	1.348	-1.645	-0.681	-0.184	-0.99	0.165	-0.066	-0.721	-1.411	-0.756
hsa-mir-411-3p	mir-411-3p	-0.68	0.146	-0.498	-0.495	-0.585	-0.792	-1.067	-1.008	1.369	0.217	0.42	-0.323	0.599	0.089	1.266	-0.074	1.414
hsa-mir-362-5p	mir-362-5p/500b-5p	-0.229	-0.494	0.218	-0.151	0.446	0.578	0.572	1.074	-0.807	0.116	-0.415	-0.227	0.385	0.079	-0.461	-0.429	-0.256
hsa-mir-508-5p	mir-508-5p	0.22	-1.532	0.179	-0.916	-1.907	0.779	1.102	1.459	-0.405	2.887	-1.162	1.551	-2.117	-0.691	1.288	0.019	-0.753
hsa-mir-99b-3p	mir-99-3p	0.358	0.067	-1.284	-0.443	0.085	-0.194	-0.116	-1.026	0.877	-0.822	0.454	-0.153	-1.318	0.526	1.685	-0.193	1.499
hsa-mir-23b-5p	mir-23-5p	0.087	0.292	-0.359	-0.399	-0.281	-0.108	-0.119	-0.357	0.296	-0.515	0.727	0.515	0.12	-0.022	0.298	-0.21	0.035
hsa-let-7f-2-3p	let-7f-2-3p/1185-3p	-0.526	-0.048	0.376	-0.636	-0.628	-0.099	0.178	-0.906	0.347	-1.038	1.111	0.208	0.295	0.394	0.776	-0.263	0.459
hsa-mir-19b-1-5p	mir-19-5p	-0.086	-0.274	-0.159	-0.308	0.219	0.013	-0.085	0.005	0.141	0.212	0.167	-0.017	0.206	0.139	-0.115	0.027	-0.084
hsa-mir-153-3p	mir-153-3p	0.119	-0.774	0.713	0.183	0.224	-1.478	-1.167	0.72	0.125	-0.024	0.193	-0.115	0.037	0.053	0.997	-0.066	0.261
hsa-mir-181c-3p	mir-181c-3p	0.073	-0.051	-0.423	-0.505	-0.24	-0.565	-0.494	-1.251	0.927	-0.292	0.775	0.612	0.136	0.063	0.402	0.399	0.433
hsa-mir-431-3p	mir-431-3p	-0.401	-0.476	-0.407	0.172	-0.379	-0.441	-0.164	-0.542	1.152	1.869	-0.354	-0.5	-0.344	0.085	0.496	-0.471	0.705
hsa-mir-193b-5p	mir-193b-5p	-1.005	2.42	-0.718	0.355	-0.782	2.696	2.371	2.669	-1.63	-0.708	-1.084	-1.031	-1.618	-0.357	-0.962	-0.145	-0.472
hsa-let-7e-3p	let-7e-3p	0.092	0.322	-0.604	-0.043	0.034	-0.327	0.04	-0.993	1.07	-1.769	0.73	-0.123	-1.039	0.615	1.435	-0.748	1.308
hsa-mir-203a-3p	NA	-0.242	0.386	0.154	-0.473	0.03	0.761	0.446	1.588	-0.453	0.555	-0.699	-0.507	-0.459	0.379	-0.52	-0.144	-0.799
hsa-mir-637	mir-637	-0.018	-0.204	1.997	-0.422	-0.145	-0.364	0.234	0.623	-0.783	1.27	-0.249	-1.9	-0.74	0.196	0.625	-0.161	0.042
hsa-mir-211-5p	mir-204-5p/211-5p	-0.178	-0.953	0.717	-0.591	0.123	1.26	0.281	-0.286	-1.293	1.062	-0.184	0.096	0.074	1.212	-0.56	0.166	-0.946
hsa-mir-671-3p	mir-671-3p	0.494	-0.067	-0.099	0	-0.131	-0.588	-0.28	-1.436	0.629	-0.178	0.47	0.154	0.457	0.386	0.136	-0.344	0.397
hsa-mir-485-5p	mir-485-5p	-1.056	-0.064	-0.327	-0.869	-0.172	-0.794	-0.356	-1.097	1.989	0.099	0.285	-0.31	-0.336	-0.065	1.054	0.812	1.208
hsa-mir-493-3p	mir-493-3p	-0.781	-0.059	-0.115	-0.3	-0.357	-0.763	-0.278	-0.787	1.292	-0.28	0.227	-0.472	0.583	-0.382	1.33	-0.051	1.193
hsa-mir-299-3p	mir-299-3p	0.25	0.254	-0.332	-0.846	-0.439	-0.798	-0.605	-0.913	0.795	-0.076	0.431	-0.009	0.474	0.023	1.09	0.017	0.683
hsa-mir-429	mir-200bc-3p/429	-0.434	0.602	0.221	0.331	-0.047	0.277	-0.211	0.926	-0.543	-0.72	0.469	0.569	-0.012	-0.308	0.022	-0.647	-0.495
hsa-mir-1291	mir-1291/6775-3p	0.006	0.713	0.554	1.336	0.78	0.856	0.933	1.158	-0.741	-0.561	-1.081	-1.026	-0.699	0.059	-1.036	-0.553	-0.699
hsa-mir-25-5p	mir-25-5p	0.428	-0.048	0.021	0.735	-0.235	0.246	0.334	0.896	0.038	-0.045	-0.5	-1.323	-0.038	0.316	-0.706	0.105	-0.223
hsa-mir-1238-3p	mir-1238-3p	0.334	0.399	-0.131	0.028	0.236	0.682	0.249	0.826	-0.426	0.78	-0.697	-0.663	-0.849	0.226	-0.325	0.23	-0.897
hsa-mir-542-5p	mir-542-5p	-0.131	-0.95	0.454	0.438	0.513	-0.053	0.315	-0.219	0.494	-0.719	-0.686	0.476	-0.681	0.176	0.149	-0.039	0.464
hsa-mir-571	mir-571	0.106	0.702	0.685	0.69	0.955	-0.486	-0.862	2.172	0.453	-1.345	-1.151	-0.185	-0.288	-0.404	-0.51	0.237	-0.771
hsa-mir-628-5p	mir-628-5p	0.086	-0.105	-0.047	0.036	-0.465	-0.612	-0.769	-0.955	0.018	-0.273	0.548	0.553	0.386	0.345	0.813	-0.014	0.455
hsa-mir-1224-5p	mir-1224-5p	0.789	0.449	0.405	-0.757	0.066	0.887	0.99	1.353	-0.904	-0.251	-1.839	0.684	-0.182	-0.319	-0.576	0.266	-1.059
hsa-mir-1285-5p	mir-1285-5p	0.38	-0.707	0.114	0.398	0.107	0.8	0.309	0.492	-0.135	-0.244	-0.314	-0.007	-0.304	-0.206	-0.125	-0.131	-0.427
hsa-mir-1207-5p	mir-1207-5p/4763-3p	0.342	0.183	0.595	0.276	0.195	0.416	0.388	0.971	-0.531	-0.299	-0.032	-0.728	-0.823	0.162	-0.472	0.063	-0.705
hsa-mir-154-3p	mir-154-3p/487-3p	-0.202	-0.402	-0.263	-1.153	-0.217	-0.641	-0.811	-0.872	0.725	0.452	0.398	-0.593	1.111	0.313	0.898	0.392	0.866
hsa-mir-346	mir-346	0.333	-0.01	0.114	0.139	0.141	0.433	0.364	1.129	-0.799	0.579	-0.262	-0.074	-0.582	0.208	-0.938	0.067	-0.843
hsa-mir-138-5p	mir-138-5p	0.377	-0.759	-0.376	0.916	0.108	0.262	0.193	1.139	-0.464	-0.427	-0.28	0.185	0.264	0.152	-0.453	0.001	-0.837
hsa-mir-302c-5p	mir-302c-5p	0.472	0.185	0.445	-0.298	0.15	0.325	0.528	0.835	-0.729	0.286	-0.591	-0.305	-0.046	0.45	-0.903	-0.064	-0.738
hsa-mir-376a-5p	mir-376a-5p	-0.319	-1.189	-1.114	0.527	-1.224	0.523	-1.071	-0.535	-2.116	1.925	0.509	-0.432	0.8	0.826	1.818	1.604	-0.531
hsa-mir-148a-5p	mir-148a-5p	0.317	0.513	-0.048	0.206	-0.784	-0.061	-0.066	1.599	0.185	-0.581	0.324	0.247	-0.491	0	-0.182	-0.366	-0.81
hsa-mir-616-3p	mir-616-3p	0.589	0.216	0.541	0.285	-0.813	0.85	-0.708	-0.034	-0.15	-0.363	0.109	0.619	-0.331	-0.918	0.461	-0.375	0.024
