Ensembl	GeneSymbol	R1t0_5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R2t0_5	R2t1	R2t2	R2t8	R2t16	R2t24	R2t30
ENSG00000123297	TSFM	0.01	0.03	0.06	-0.58	-0.33	-0.06	0.16	-0.05	-0.11	-0.21	-0.59	-0.51	-0.34	-0.21
ENSG00000124209	RAB31	-0.1	-0.21	-0.42	-1.38	-0.31	-0.03	0.11	-0.06	-0.12	-0.23	-0.17	-0.34	-0.16	0.02
ENSG00000125166	GOT2	0.02	0.05	0.11	-0.13	-0.37	-0.22	-0.1	-0.03	-0.07	-0.14	-0.53	-0.33	-0.2	-0.11
ENSG00000125743	SNRPD2	-0.04	-0.09	-0.18	-1.24	-0.77	-0.37	-0.07	-0.02	-0.04	-0.07	-0.35	-0.26	-0.1	0.03
ENSG00000125870	SNRPB2	-0.1	-0.21	-0.41	-0.83	-0.57	-0.32	-0.13	-0.02	-0.05	-0.11	-0.15	-0.26	-0.25	-0.23
ENSG00000125912	NCLN	-0.02	-0.05	-0.11	-0.44	-0.54	-0.05	0.21	-0.03	-0.07	-0.13	-0.52	-0.28	0.07	0.35
ENSG00000127884	ECHS1	-0.03	-0.05	-0.1	-0.57	-0.39	-0.24	-0.13	-0.1	-0.19	-0.39	-0.15	-0.23	-0.2	-0.2
ENSG00000128609	NDUFA5	-0.03	-0.06	-0.12	-0.54	-0.31	-0.11	0.04	-0.03	-0.06	-0.12	-0.69	-0.48	-0.31	-0.2
ENSG00000128641	MYO1B	-0.03	-0.07	-0.13	-0.24	-0.34	-0.08	0.1	0	0.01	0.01	-0.36	-0.15	0.02	0.14
ENSG00000129625	REEP5	-0.02	-0.05	-0.1	-0.64	-0.3	0	0.24	0.01	0.02	0.04	-0.17	-0.03	0.07	0.16
ENSG00000130204	TOMM40	-0.06	-0.12	-0.24	-0.19	-0.44	-0.47	-0.48	-0.19	-0.38	-0.75	-0.5	-0.5	-0.55	-0.57
ENSG00000130414	NDUFA10	-0.2	-0.4	-0.81	-0.48	-0.29	-0.27	-0.26	-0.04	-0.07	-0.14	-0.21	-0.14	0.01	0.12
