Ensembl	GeneSymbol	R1t0_5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R2t0_5	R2t1	R2t2	R2t8	R2t16	R2t24	R2t30
ENSG00000107223	EDF1	0.31	0.61	1.2	0.52	0.27	0.44	0.62	-0.06	-0.12	-0.24	-0.27	-0.36	-0.28	-0.21
ENSG00000107581	EIF3A	0	0	-0.01	-0.46	-0.56	-0.7	-0.79	-0.12	-0.25	-0.49	-0.9	-0.77	-0.64	-0.54
ENSG00000108829	LRRC59	-0.1	-0.2	-0.4	-1.12	-0.85	-0.44	-0.13	-0.04	-0.07	-0.14	-0.81	-0.46	-0.14	0.1
ENSG00000108848	LUC7L3	0.06	0.11	0.22	0.38	-0.14	-0.19	-0.18	0.05	0.1	0.22	-0.83	-1.24	-1.3	-1.4
ENSG00000109062	SLC9A3R1	-0.08	-0.17	-0.32	-0.21	-0.51	-0.69	-0.82	-0.05	-0.11	-0.22	-0.18	-0.29	-0.08	0.05
ENSG00000109814	UGDH	0.02	0.04	0.08	-0.12	0	0.2	0.36	0.02	0.03	0.06	-0.19	0.05	0.41	0.69
ENSG00000109971	HSPA8	0.04	0.08	0.16	0.02	-0.05	-0.21	-0.34	0.03	0.05	0.1	0.2	0.15	0.09	0.05
ENSG00000110442	COMMD9	-0.24	-0.47	-0.94	-0.88	-0.62	-1.31	-1.72	0.02	0.05	0.09	-0.82	-0.82	-0.8	-0.78
ENSG00000111237	VPS29	0.07	0.14	0.28	-0.89	-0.59	-0.42	-0.28	0.04	0.08	0.15	-0.6	-0.16	0.08	0.24
ENSG00000111275	ALDH2	-0.09	-0.19	-0.38	-0.21	-0.14	0.15	0.29	0.02	0.04	0.07	0.28	0.08	-0.03	-0.1
ENSG00000112996	MRPS30	0.16	0.33	0.67	-0.08	0.14	0.36	0.52	0.08	0.17	0.32	-0.28	-0.36	-0.3	-0.25
ENSG00000113312	TTC1	0	0	0	-1.1	-0.61	-0.4	-0.27	0.06	0.11	0.23	-0.37	-0.14	0.12	0.32
ENSG00000113811	SELK	0.11	0.22	0.42	1.17	1.98	1.9	1.75	0.12	0.25	0.49	1.21	1.49	1.65	1.75
ENSG00000115275	MOGS	0.06	0.12	0.24	0.36	0.45	0.76	1.01	-0.04	-0.08	-0.16	0.35	0.12	-0.18	-0.4
ENSG00000115677	HDLBP	-0.12	-0.23	-0.47	-0.57	-0.57	-0.64	-0.66	-0.07	-0.14	-0.28	-0.87	-0.57	-0.3	-0.1
ENSG00000115806	GORASP2	-0.42	-0.83	-1.65	-1.14	-0.74	-0.66	-0.64	-0.15	-0.3	-0.6	-1.32	-1.71	-1.72	-1.71
ENSG00000115919	KYNU	-0.03	-0.07	-0.14	-0.23	-0.06	0.05	0.12	0	-0.01	-0.02	-0.17	-0.21	-0.02	0.15
ENSG00000115944	COX7A2L	0.22	0.44	0.87	-0.21	0.76	1.36	1.78	0.18	0.37	0.73	0.69	0.46	0.48	0.52
ENSG00000117984	CTSD	-0.06	-0.13	-0.26	-0.04	-0.72	-0.66	-0.54	-0.05	-0.11	-0.22	-0.42	-0.31	0.08	0.4
ENSG00000119285	HEATR1	-0.1	-0.2	-0.41	0.19	0.03	-0.03	-0.06	0.03	0.05	0.1	-0.02	-0.11	-0.35	-0.5
ENSG00000119777	TMEM214	-0.07	-0.15	-0.32	0.04	0.01	0.29	0.53	0.01	0.03	0.05	1.05	0.99	0.82	0.69
ENSG00000120254	MTHFD1L	0.17	0.33	0.65	0.34	0.58	0.87	1.08	-0.05	-0.09	-0.18	-0.1	-0.31	-0.4	-0.45
ENSG00000121940	CLCC1	-0.2	-0.39	-0.79	-0.47	-0.66	-0.35	-0.07	-0.1	-0.21	-0.41	0.69	0.6	0.43	0.29
ENSG00000122694	GLIPR2	0.47	0.94	1.86	0.51	0.39	0.33	0.29	0.2	0.41	0.82	0.52	0.12	0.02	-0.03
ENSG00000123131	PRDX4	0.08	0.15	0.28	-0.13	0.13	0.42	0.64	-0.02	-0.04	-0.07	0.14	0.07	0.2	0.32
ENSG00000124783	SSR1	-0.01	-0.02	-0.03	0.3	0.71	1.22	1.61	0.15	0.3	0.6	1.69	1.63	1.68	1.72
ENSG00000126432	PRDX5	-0.04	-0.08	-0.17	-0.17	0.05	0.15	0.21	0	-0.01	-0.03	-0.24	-0.13	0.08	0.26
