miRNA_normalized_dat_mean_centered_w_fam_names_14072020.txt,miRNA_family	protein_normalized_dat_mean_centered_14072020.txt,entrezs
mir-193a-5p	643699
mir-193a-5p	653720
mir-193a-5p	653125
mir-193a-5p	23587
mir-193a-5p	9274
mir-193a-5p	126917
mir-193a-5p	4093
mir-193a-5p	3084
mir-193a-5p	4211
mir-193a-5p	9145
mir-193a-5p	9703
mir-193a-5p	7187
mir-193a-5p	7504
mir-193a-5p	55504
mir-193a-5p	23294
mir-193a-5p	10523
mir-193a-5p	9720
mir-193a-5p	4439
mir-193a-5p	5629
mir-193a-5p	5631
mir-193a-5p	7322
mir-193a-5p	26224
mir-193a-5p	22924
mir-193a-5p	9491
mir-193a-5p	653319
mir-193a-5p	8396
mir-193a-5p	1241
mir-193a-5p	29843
mir-193a-5p	131544
mir-193a-5p	114785
mir-193a-5p	4357
mir-193a-5p	145858
mir-193a-5p	89932
mir-193a-5p	2863
mir-193a-5p	10472
mir-193a-5p	84173
mir-1249-3p	145501
mir-1249-3p	2048
mir-1249-3p	3190
mir-1249-3p	90853
mir-1249-3p	3209
mir-1249-3p	3218
mir-1249-3p	10608
mir-1249-3p	56256
mir-1249-3p	23762
mir-1249-3p	132014
mir-1249-3p	26121
mir-1249-3p	32
mir-1249-3p	78987
mir-1249-3p	9814
mir-1249-3p	390598
mir-1249-3p	9922
mir-338-3p	9743
mir-338-3p	28988
mir-338-3p	7301
mir-338-3p	3642
mir-338-3p	9807
mir-338-3p	7391
mir-338-3p	400569
mir-338-3p	7874
mir-338-3p	79441
mir-338-3p	2122
mir-338-3p	170692
mir-338-3p	7057
mir-338-3p	4208
mir-338-3p	1607
mir-338-3p	160851
mir-338-3p	9935
mir-338-3p	4137
mir-338-3p	4133
mir-338-3p	7873
mir-338-3p	6293
mir-338-3p	1800
mir-338-3p	55777
mir-338-3p	57554
mir-338-3p	84153
mir-338-3p	1740
mir-338-3p	22849
mir-338-3p	80344
mir-338-3p	25853
mir-338-3p	785
mir-338-3p	90634
mir-338-3p	50848
mir-338-3p	2039
mir-338-3p	10451
mir-338-3p	59349
mir-338-3p	2019
mir-338-3p	2159
mir-338-3p	1674
mir-338-3p	84618
mir-338-3p	1398
mir-338-3p	867
mir-338-3p	149420
mir-338-3p	28958
mir-338-3p	79776
mir-338-3p	8927
mir-338-3p	56987
mir-338-3p	9883
mir-338-3p	79663
mir-338-3p	4851
mir-338-3p	6323
mir-338-3p	2813
mir-338-3p	4034
mir-338-3p	11138
mir-338-3p	9318
mir-338-3p	51138
mir-338-3p	23658
mir-338-3p	64210
mir-338-3p	130814
mir-338-3p	4779
mir-338-3p	140733
mir-338-3p	1946
mir-338-3p	152519
mir-338-3p	26039
mir-338-3p	328
mir-338-3p	401190
mir-338-3p	10095
mir-338-3p	10102
mir-338-3p	80336
mir-338-3p	55720
mir-338-3p	7272
mir-338-3p	150465
mir-338-3p	63923
mir-338-3p	11200
mir-338-3p	6868
mir-338-3p	10342
mir-338-3p	7170
mir-338-3p	6717
mir-338-3p	80320
mir-338-3p	6651
mir-338-3p	2534
mir-338-3p	8437
mir-338-3p	55082
mir-338-3p	999
mir-338-3p	1019
mir-338-3p	50937
mir-338-3p	11258
mir-338-3p	7187
mir-338-3p	865
mir-338-3p	9342
mir-338-3p	100996928
mir-338-3p	4810
mir-338-3p	256987
mir-338-3p	1663
mir-338-3p	4478
mir-338-3p	4340
mir-338-3p	153090
mir-338-3p	4094
mir-338-3p	51550
mir-338-3p	7079
mir-338-3p	51552
mir-338-3p	51715
mir-338-3p	27314
mir-338-3p	84699
mir-338-3p	3791
mir-338-3p	53354
mir-338-3p	53905
mir-338-3p	64282
mir-338-3p	5764
mir-338-3p	4048
mir-338-3p	1844
mir-338-3p	23530
mir-338-3p	6872
